	MOL_ID	MOL_INDEX
491	MOL001463	491
492	MOL001468	492
493	MOL001474	493
494	MOL001484	494
495	MOL001487	495
496	MOL001494	496
497	MOL001495	497
498	MOL001500	498
499	MOL001501	499
500	MOL001522	500
501	MOL001523	501
502	MOL001530	502
503	MOL001531	503
504	MOL001534	504
505	MOL001539	505
506	MOL001541	506
507	MOL001545	507
508	MOL001546	508
509	MOL001556	509
510	MOL001558	510
511	MOL001566	511
512	MOL001575	512
513	MOL001579	513
514	MOL001593	514
515	MOL001599	515
516	MOL001600	516
517	MOL001601	517
518	MOL001604	518
519	MOL001606	519
520	MOL001640	520
521	MOL001641	521
522	MOL001643	522
523	MOL001645	523
524	MOL001648	524
525	MOL001649	525
526	MOL001657	526
527	MOL001660	527
528	MOL001669	528
529	MOL001677	529
530	MOL001689	530
531	MOL001691	531
532	MOL001696	532
533	MOL001719	533
534	MOL001729	534
535	MOL001731	535
536	MOL001732	536
537	MOL001739	537
538	MOL001747	538
539	MOL001748	539
540	MOL001749	540
541	MOL001752	541
542	MOL001787	542
543	MOL001789	543
544	MOL001792	544
545	MOL001794	545
546	MOL001798	546
547	MOL001801	547
548	MOL001803	548
549	MOL001818	549
550	MOL001842	550
551	MOL001850	551
552	MOL001859	552
553	MOL001862	553
554	MOL001867	554
555	MOL001868	555
556	MOL001870	556
557	MOL001873	557
558	MOL001876	558
559	MOL001880	559
560	MOL001881	560
561	MOL001882	561
562	MOL001884	562
563	MOL001886	563
564	MOL001887	564
565	MOL001889	565
566	MOL001891	566
567	MOL001893	567
568	MOL001895	568
569	MOL001899	569
570	MOL001904	570
571	MOL001906	571
572	MOL001907	572
573	MOL001922	573
574	MOL001923	574
575	MOL001938	575
576	MOL001939	576
577	MOL001940	577
578	MOL001941	578
579	MOL001942	579
580	MOL001944	580
581	MOL001946	581
582	MOL001947	582
583	MOL001948	583
584	MOL001949	584
585	MOL001950	585
586	MOL001951	586
587	MOL001952	587
588	MOL001955	588
589	MOL001956	589
590	MOL001972	590
591	MOL001993	591
592	MOL001999	592
593	MOL002002	593
594	MOL002003	594
595	MOL002004	595
596	MOL002007	596
597	MOL002008	597
598	MOL002025	598
599	MOL002028	599
600	MOL002029	600
601	MOL002033	601
602	MOL002036	602
603	MOL002038	603
604	MOL002040	604
605	MOL002042	605
606	MOL002049	606
607	MOL002050	607
608	MOL002052	608
609	MOL002055	609
610	MOL002056	610
611	MOL002058	611
612	MOL002083	612
613	MOL002085	613
614	MOL002086	614
615	MOL002087	615
616	MOL002091	616
617	MOL002095	617
618	MOL002096	618
619	MOL002098	619
620	MOL002099	620
621	MOL002107	621
622	MOL002109	622
623	MOL002111	623
624	MOL002112	624
625	MOL002116	625
626	MOL002117	626
627	MOL002119	627
628	MOL002120	628
629	MOL002121	629
630	MOL002122	630
631	MOL002123	631
632	MOL002124	632
633	MOL002125	633
634	MOL002126	634
635	MOL002127	635
636	MOL002128	636
637	MOL002130	637
638	MOL002133	638
639	MOL002134	639
640	MOL002135	640
641	MOL002136	641
642	MOL002138	642
643	MOL002140	643
644	MOL002141	644
645	MOL002142	645
646	MOL002143	646
647	MOL002144	647
648	MOL002145	648
649	MOL002146	649
650	MOL002150	650
651	MOL002152	651
652	MOL002153	652
653	MOL002156	653
654	MOL002157	654
655	MOL002160	655
656	MOL002161	656
657	MOL002165	657
658	MOL002166	658
659	MOL002170	659
660	MOL002174	660
661	MOL002177	661
662	MOL002178	662
663	MOL002181	663
664	MOL002184	664
665	MOL002185	665
666	MOL002186	666
667	MOL002189	667
668	MOL002190	668
669	MOL002191	669
670	MOL002192	670
671	MOL002193	671
672	MOL002201	672
673	MOL002203	673
674	MOL002206	674
675	MOL002207	675
676	MOL002208	676
677	MOL002209	677
678	MOL002211	678
679	MOL002218	679
